sentence,lv3,lv4,lv7_1,lv7_2
"R-F, I 성토부 법면 정리",토공,IC/JC,흙쌓기,토공기타
"R-F, I 성토 및 다짐, 법면정리 및 뒷채움",토공,IC/JC,흙쌓기,노체
"R-F, I 성토 및 다짐, 법면정리",토공,IC/JC,흙쌓기,흙쌓기기타
"R-F, G 성토 및 다짐, 노상정리",토공,IC/JC,흙쌓기,노상
"R-F, G 다이크 후면부 되메우기",토공,IC/JC,흙쌓기,노상
"R-F, G 노상정리",토공,IC/JC,흙쌓기,노상
"R-F 성토 및 다짐, 법면정리",토공,IC/JC,흙쌓기,흙쌓기기타
"R-E, H, I L2 배면부 골재 채움",토공,IC/JC,흙쌓기,노체
R-E L2 배면부 골재 채움,토공,IC/JC,흙쌓기,노체
R-E  : 녹지구간 비옥토 집토 ,토공,IC/JC,토공기타,토공기타
R-E  : 2공구 반입토 성토 ,토공,IC/JC,흙쌓기,흙쌓기기타
"R-C)(우) 깍기 및 영내토공 상차, 운반",토공,IC/JC,흙깎기,흙깍기기타
R-B)(우)발파암 천공 및 발파,토공,IC/JC,흙깎기,발파
RAMP-H : 임목폐기물 집목 ,토공,IC/JC,토공기타,토공기타
RAMP-G : 녹지대구간 배수로 정비 및 침사지 설치 ,토공,IC/JC,토공기타,토공기타
RAMP-G : 녹지대 침사지 설치 ,토공,IC/JC,토공기타,토공기타
RAMP-F  암성토 및 법면정리 ,토공,IC/JC,흙쌓기,노상
RAMP-F  성토부 정리 ,토공,IC/JC,흙쌓기,토공기타
RAMP-F  벌목 ,토공,IC/JC,토공기타,토공기타
RAMP-E 표토제거,토공,IC/JC,토공기타,토공기타
RAMP-E 성토부 정리 및 법면정리 ,토공,IC/JC,흙쌓기,토공기타
RAMP-E 노체 성토 및 다짐 ,토공,IC/JC,흙쌓기,노체
RAMP-E STA. 2공구 반입토 성토 ,토공,IC/JC,흙쌓기,흙쌓기기타
RAMP-E STA.  2공구 반입토 운반 및 성토 ,토공,IC/JC,흙쌓기,흙쌓기기타
RAMP-E 2공구 발파임 반입 및 암성토 ,토공,IC/JC,흙쌓기,노상
RAMP-E 2공구 반입토 운반 및 성토,토공,IC/JC,흙쌓기,흙쌓기기타
RAMP-E : 노체 성토 및 다짐 ,토공,IC/JC,흙쌓기,노체
RAMP-E  암성토 및 법면정리 ,토공,IC/JC,흙쌓기,노상
RAMP-E  암 성토 ,토공,IC/JC,흙쌓기,노상
RAMP-E  성토부정리 ,토공,IC/JC,흙쌓기,토공기타
RAMP-E  2공구 반입토 운반 및 성토 ,토공,IC/JC,흙쌓기,흙쌓기기타
RAMP-D P1 표토제거 ,토공,IC/JC,토공기타,토공기타
RAMP-D A1 항타부지정리 ,토공,IC/JC,토공기타,토공기타
RAMP-C 표토제거 ,토공,IC/JC,토공기타,토공기타
RAMP-C : 흙쌓기 ,토공,IC/JC,흙쌓기,흙쌓기기타
RAMP-C : 성토 및 다짐 ,토공,IC/JC,흙쌓기,흙쌓기기타
RAMP-C  벌목 ,토공,IC/JC,토공기타,토공기타
RamP-C  깎기 및 영내토공 상차,토공,IC/JC,흙깎기,흙깍기기타
"RAMP-B,C,F 녹지대 비옥토 수거 ",토공,IC/JC,토공기타,토공기타
"RAMP-B,C 비옥토 수거 및 집토 ",토공,IC/JC,토공기타,토공기타
"RAMP-B, C 대나무 벌개제근 ",토공,IC/JC,토공기타,토공기타
RAMP-B 흙 쌓기 ,토공,IC/JC,흙쌓기,흙쌓기기타
RAMP-B 토사 성토 및 다짐 ,토공,IC/JC,흙쌓기,흙쌓기기타
RamP-B 발파암 천공 및 발파,토공,IC/JC,흙깎기,발파
RamP-B 발파암 천공,토공,IC/JC,흙깎기,발파
RAMP-B P4 토공정리 ,토공,IC/JC,토공기타,토공기타
RAMP-B  흙 쌓기 ,토공,IC/JC,흙쌓기,흙쌓기기타
RAMP-B  암성토 ,토공,IC/JC,흙쌓기,노상
RAMP-B  성토부정리 및 다짐 ,토공,IC/JC,흙쌓기,토공기타
RAMP-B  성토부 정리 ,토공,IC/JC,흙쌓기,토공기타
RAMP-B  노체 성토 및 다짐 ,토공,IC/JC,흙쌓기,노체
"RamP-A, E 토사 상차 및 표토 제거",토공,IC/JC,토공기타,토공기타
RAMP-A 임목폐기물 제근 ,토공,IC/JC,토공기타,토공기타
RAMP-A 성토부 암소할,토공,IC/JC,흙깎기,리핑
RamP-A 깎기부 법면정리,토공,IC/JC,흙깎기,흙깍기기타
RAMP-A : 흙깎기 ,토공,IC/JC,흙깎기,흙깍기기타
RAMP-A  절토부 옹벽 2단 판넬 설치 및 뒤채움 콘크리트 타설 ,토공,IC/JC,토공기타,옹벽기타
RAMP-A  절토부 옹벽 2단 판넬 설치 ,토공,IC/JC,토공기타,옹벽기타
"RAMP-A  절토부 옹벽 2단 골재 및 토사 뒤채움, 절토 및 상차 운반 ",토공,IC/JC,토공기타,옹벽기타
"RAMP-A  절토부 옹벽 1단 영구앵커 천공, 절토 및 상차운반 ",토공,IC/JC,토공기타,옹벽기타
"RAMP-A  절토부 옹벽 1단 영구앵커 천공, 절토 ",토공,IC/JC,토공기타,옹벽기타
"RAMP-A  절토부 옹벽 1단 영구앵커 천공 및 레벨링 콘크리트 타설, 절토 및 상차운반 ",토공,IC/JC,토공기타,옹벽기타
"RAMP-A  절토부 옹벽 1단 레벨링 콘크리트 타설, 절토 및 상차운반 ",토공,IC/JC,토공기타,옹벽기타
RAMP-A  임목 집목 ,토공,IC/JC,토공기타,토공기타
RAMP-A  벌목 ,토공,IC/JC,토공기타,토공기타
R-A)(양방향) 깍기부 법면정리,토공,IC/JC,흙깎기,흙깍기기타
"R-A 토사운반 및 성토, 다짐, ",토공,IC/JC,흙쌓기,흙쌓기기타
R-A 토사운반 및 성토,토공,IC/JC,흙쌓기,흙쌓기기타
R-A 노상 정리,토공,IC/JC,흙쌓기,노상
R-A  절토부 깎기 및 상차,토공,IC/JC,흙깎기,흙깍기기타
R-A  깎기 및 상차,토공,IC/JC,흙깎기,흙깍기기타
R-A   암소할,토공,IC/JC,흙깎기,리핑
"R/A,E 토사상차 및 표토제거반출",토공,IC/JC,토공기타,토공기타
"R/A,E 토사상차 및 표토제거",토공,IC/JC,토공기타,토공기타
R/A  노체성토 및 다짐,토공,IC/JC,흙쌓기,노체
R/A   암소활,토공,IC/JC,흙깎기,리핑
2공구 접속구간 진입로 정비(STA.0+834 ~ STA.0+889) ,토공,본선,토공기타,토공기타
2공구 접속구간 임목정리(STA.0+834 ~ STA.0+889) ,토공,본선,토공기타,토공기타
종점부 벌목(STA.0+834 ~ STA.0+889) ,토공,본선,토공기타,토공기타
2공구 접속구간 공사용진입도로 개설(STA.0+834 ~ STA.0+889) ,토공,본선,토공기타,토공기타
1+000~100/0+900~1+100 깎기 및 상차,토공,본선,흙깎기,흙깍기기타
·2공구 접속구간 공사용 진입도로 개설(STA.0+834 ~ STA.0+889),토공,본선,토공기타,토공기타
 시도 10호선 : 노체 성토 및 다짐 ,토공,지선/부체도로,흙쌓기,노체
 산외교 함양방향 STA. 1+100~1+240 격자블록 콘크리트 타설 ,토공,본선,토공기타,비탈면보호공
 산외교 함양방향 STA. 1+016~1+239 법면정리 ,토공,본선,토공기타,토공기타
 부체도로 흙깍기 및 법면정리 ,토공,지선/부체도로,흙깎기,흙깍기기타
 부체도로 법면정리 ,토공,지선/부체도로,토공기타,토공기타
 부체도로 2번 법면정리 ,토공,지선/부체도로,토공기타,토공기타
 부체도로 2번 STA.  흙 깍기 ,토공,지선/부체도로,흙깎기,흙깍기기타
 부체도로 2번  흙 깍기 ,토공,지선/부체도로,흙깎기,흙깍기기타
 부체도로 2번  : 토공정리 ,토공,지선/부체도로,토공기타,토공기타
 부체도로 : 임목폐기물 집목 ,토공,지선/부체도로,토공기타,토공기타
 부체도로 : 임목폐기물 집목 ,토공,지선/부체도로,토공기타,토공기타
 부체도로 : 벌목 및 집목 ,토공,지선/부체도로,토공기타,토공기타
 부체도로 : 벌개 제근 및 임목 파쇄장 정리 ,토공,지선/부체도로,토공기타,토공기타
 부체도로  : 임목폐기물 집목 ,토공,지선/부체도로,토공기타,토공기타
 부체도로  : 벌목 및 집목 ,토공,지선/부체도로,토공기타,토공기타
 부체도로   벌개제근 ,토공,지선/부체도로,토공기타,토공기타
STA.0+834.720(P15 울산) ~ STA.0+889.720(P16 울산) 2공구 진입로 정리 ,토공,본선,토공기타,토공기타
 STA.0+104.120(P2 울산) 항타기 진입로 정리,토공,본선,토공기타,토공기타
" R-F, G 노상정리",토공,IC/JC,흙쌓기,노상
 R-E 녹지대 : 비옥토 수거 및 집토 ,토공,IC/JC,토공기타,토공기타
 R-E  : 2공구 반입토 운반 및 성토 ,토공,IC/JC,흙쌓기,흙쌓기기타
 R-E  : 2공구 반입토 성토,토공,IC/JC,흙쌓기,흙쌓기기타
 R-C  : 벌목작업 및 표토제거 ,토공,IC/JC,토공기타,토공기타
 RAMP-F 표토제거 ,토공,IC/JC,토공기타,토공기타
 RAMP-E 비옥토 집토 ,토공,IC/JC,토공기타,토공기타
 RAMP-E 노체 성토 및 다짐 ,토공,IC/JC,흙쌓기,노체
 RAMP-E : 토사 다이크 설치 ,토공,IC/JC,토공기타,토공기타
 RAMP-E : 법면정리 ,토공,IC/JC,토공기타,토공기타
 RAMP-E : 노체 성토 및 다짐 ,토공,IC/JC,흙쌓기,노체
 RAMP-E  암 성토 ,토공,IC/JC,흙쌓기,노상
 RAMP-D : 진입로 정비 ,토공,IC/JC,토공기타,토공기타
 RAMP-D  : 흙쌓기 및 다짐 ,토공,IC/JC,흙쌓기,흙쌓기기타
 RAMP-C P2 : 되메우기 ,토공,IC/JC,흙쌓기,노상
" RAMP-B,C : 비옥토 수거 및 집토 ",토공,IC/JC,토공기타,토공기타
 RAMP-B  암성토 ,토공,IC/JC,흙쌓기,노상
 RAMP-A: 토공정리 및 작업로 정비 ,토공,IC/JC,토공기타,토공기타
 RAMP-A 절토부 옹벽 흙깍기 및 골재 뒤채움 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A 절토부 옹벽 영구앵커 천공 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A : 임목 폐기물 운반 ,토공,IC/JC,토공기타,토공기타
 RAMP-A : 임목 운반  ,토공,IC/JC,토공기타,토공기타
 RAMP-A  흙 깍기 및 절토부 옹벽 토공정리 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  흙 깍기 및 절토부 옹벽 자재반입 및 작업준비 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부옹벽 뒤채움 콘크리트 타설 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 흙깍기 준비작업 ,토공,IC/JC,토공기타,옹벽기타
" RAMP-A  절토부 옹벽 흙 깍기, 레벨링 콘크리트 타설 ",토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 흙 깍기 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 팔넬 골재 및 토사 뒤채움 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 판넬설치 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 판넬반입 및 설치 ,토공,IC/JC,토공기타,옹벽기타
" RAMP-A  절토부 옹벽 판넬 설치, 흙 깍기 ",토공,IC/JC,토공기타,옹벽기타
" RAMP-A  절토부 옹벽 판넬 설치 및 뒤채움 콘크리트 타설, 흙 깍기 ",토공,IC/JC,토공기타,옹벽기타
" RAMP-A  절토부 옹벽 영구앵커 천공, 흙 깍기 ",토공,IC/JC,토공기타,옹벽기타
" RAMP-A  절토부 옹벽 영구앵커 천공, 판넬 반입 및 설치, 흙 깍기 ",토공,IC/JC,토공기타,옹벽기타
" RAMP-A  절토부 옹벽 영구앵커 천공 및 판넬반입, 설치 ",토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 영구앵커 천공 및 설치 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 영구앵커 천공 및 기초 콘크리트 타설 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 영구앵커 천공 및 그라우팅 주립 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 뒤채움 콘크리트 타설 ,토공,IC/JC,토공기타,옹벽기타
" RAMP-A  절토부 옹벽 골재 및 토사 뒤채움, 흙 깍기 ",토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 골재 및 토사 뒤채움 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 3단 인장 및 흙 깍기 ,토공,IC/JC,토공기타,옹벽기타
" RAMP-A  절토부 옹벽 2단 영구앵커 천공, 절토 및 상차운반 ",토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 2단 영구앵커 천공 및 흙 깍기 ,토공,IC/JC,토공기타,옹벽기타
" RAMP-A  절토부 옹벽 2단 영구앵커 천공 및 판넬 설치, 절토 및 상차운반 ",토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 2단 영구앵커 천공 및 판넬 설치 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 2단 레벨링 콘크리트 타설 및 판넬 설치 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  절토부 옹벽 2단 기초 거푸집 조립 및 콘크리트 타설 ,토공,IC/JC,토공기타,옹벽기타
 RAMP-A  가도 정비 ,토공,IC/JC,토공기타,토공기타
 RAMP-A  : 흙깍기 ,토공,IC/JC,흙깎기,흙깍기기타
부체도로# STA. 0+040~120 성토 및 다짐(600㎥) ,토공,지선/부체도로,흙쌓기,흙쌓기기타
부체도로#2 STA. 0+040~120 성토 및 다짐(330㎥) ,토공,지선/부체도로,흙쌓기,흙쌓기기타
부체도로#2 STA.0+132~320 흙깎기 300㎥ ,토공,지선/부체도로,흙깎기,흙깍기기타
부체도로#2 STA.0+132~320 흙깎기 300㎥ ,토공,지선/부체도로,흙깎기,흙깍기기타
부체도로#2 STA.0+200~320 표토제거 및 선형정리 ,토공,지선/부체도로,토공기타,토공기타
부체도로#2 세륜기 보수 콘크리트 타설 (8㎥),토공,지선/부체도로,토공기타,토공기타
부체도로#2 STA.0+000 세륜기 가이드 벽체 거푸집 설치 및 콘크리트 타설 2㎥  ,토공,지선/부체도로,토공기타,토공기타
부체도로#2 STA.0+200~300 흙깎기 315㎥,토공,지선/부체도로,흙깎기,흙깍기기타
 부체도로#2 STA.0+200~260 법면 흙깎기 350㎥ ,토공,지선/부체도로,흙깎기,흙깍기기타
 부체도로#2 STA.0+200~260 법면 흙깎기 350㎥,토공,지선/부체도로,흙깎기,흙깍기기타
부체도로#2 STA.0+200~260 법면 흙깎기 350㎥,토공,지선/부체도로,흙깎기,흙깍기기타
 0+430~460 부체도로#2 흙쌓기(30m) (C등급),토공,지선/부체도로,흙쌓기,흙쌓기기타
 공사용 진입도로＃3 배수관 설치 및 되메우기(C등급),토공,지선/부체도로,흙쌓기,노상
 공사용 진입도로＃3 배수관 설치 및 되메우기,토공,지선/부체도로,흙쌓기,노상
공사용 진입도로＃3 되메우기(C등급) ,토공,지선/부체도로,흙쌓기,노상
" 시도13호선 노상 성토, 다짐 및 운반(C등급)",토공,지선/부체도로,흙쌓기,흙쌓기기타
시도13호선 우회도로 노견 골재 뒷채움 및 개거수로 덮개 콘크리트 타설(C),토공,지선/부체도로,토공기타,토공기타
시도13호선 우회도로 개거수로 덮개 거푸집 해체 및 교통 안전시설물 설치(C) ,토공,지선/부체도로,토공기타,토공기타
"시도13호선 우회도로 차선도색, 개거수로 거푸집 해체 및 차량 우회신호(C) ",토공,지선/부체도로,토공기타,토공기타
시도13호선 우회도로 세륜기 진입로 다이크 거푸집 해체(C),토공,지선/부체도로,토공기타,토공기타
 1구간(부채도로＃1 STA.0+250~260) 산마루측구 기초 거푸집 설치(C) ,토공,지선/부체도로,토공기타,토공기타
 1구간(부채도로＃1STA.0+240~260) 산마루측구 기초 con'c 타설(C) ),토공,지선/부체도로,토공기타,토공기타
 1구간(부채도로＃1STA.0+240~260) 산마루측구 벽체 거푸집 설치(C) ,토공,지선/부체도로,토공기타,토공기타
 본선# STA.0+480~500 토사반출(1공구)  (1069㎥),토공,본선,토공기타,토공기타
본선 STA. 0+480~520 벌개제근(900㎡),토공,본선,토공기타,토공기타
0+580~620 산마루측구 터파기 및 법면절취 (C등급),토공,본선,흙깎기,흙깍기기타
0+580~620 산마루측구 터파기(20m) 및 법면절취 (C등급),토공,본선,흙깎기,흙깍기기타
0+430~440 법면절취 작업 (C등급),토공,본선,흙깎기,흙깍기기타
STA.430~440 법면절취 작업 (C등급),토공,본선,흙깎기,흙깍기기타
STA.0+500~540 법면절취 작업 (C등급) ,토공,본선,흙깎기,흙깍기기타
0+450~500 법면절취 작업(C등급),토공,본선,흙깎기,흙깍기기타
 0+460~0+500 법면절취 작업 (C등급),토공,본선,흙깎기,흙깍기기타
"0+485~514, 500~540 법면절취 및 집토 작업 (C등급) ",토공,본선,흙깎기,흙깍기기타
0+600~615 법면절취 (C등급) ,토공,본선,흙깎기,흙깍기기타
0+520 집토작업 (C등급) ,토공,본선,토공기타,토공기타
0+480~540 법면절취 작업 (C등급) ,토공,본선,흙깎기,흙깍기기타
 0+480~500 법면절취 작업 (C등급),토공,본선,흙깎기,흙깍기기타
0+460~520 법면절취 작업 (C등급) ,토공,본선,흙깎기,흙깍기기타
"0+440~480, 605~630 법면절취 및 집토 작업 (C등급) ",토공,본선,흙깎기,흙깍기기타
"0+440~480, 600~630 법면절취 및 집토 작업 (C등급) ",토공,본선,흙깎기,흙깍기기타
"1구간(STA.0+40,140) 도수로, 집수정 철근 조립(C등급) ",토공,본선,토공기타,토공기타
1구간(STA.0+220~240) 법면 절취(C),토공,본선,흙깎기,흙깍기기타
1구간 판넬식 옹벽 장비 세팅 및 천공(B) ,토공,본선,흙깎기,발파
"1구간 판넬식 옹벽 천공, 삽입 및 그라우팅 주입(B) ",토공,본선,토공기타,연약지반처리
1구간 판넬식 옹벽 구간 영구앵커 그라우팅 주입(C) ,토공,본선,토공기타,연약지반처리
1구간 판넬식 옹벽 구간 그라우팅 및 기초설치(C) ,토공,본선,토공기타,연약지반처리
1구간(STA.0+040~180) 법면 하단부 절토,토공,본선,흙깎기,흙깍기기타
1구간 판넬식 옹벽 구간 토사 뒷채움 작업(C) ,토공,본선,흙쌓기,노체
"토공1구간 0+020, 140, 185 집수정 벽체 되메우기 - B/H 0.6 : 1대, D/T 15t : 1대 ",토공,본선,흙쌓기,노상
1구간(STA.0+220~240) 법면절취(C) ,토공,본선,흙깎기,흙깍기기타
1구간(STA.0+220~240) 법면절취 및 벌목 파쇄,토공,본선,흙깎기,흙깍기기타
1구간(STA.0+220~240) 법면 절취(C),토공,본선,흙깎기,흙깍기기타
1구간(STA.0+220~240) 법면 절취 및 임목 파쇄 폐기물 반출(C) ,토공,본선,흙깎기,흙깍기기타
1구간(STA.0+220~240) 법면 절취 및 산마루측구 터파기(C) ,토공,본선,흙깎기,흙깍기기타
1구간(STA.0+200~240) 표토제거(C등급),토공,본선,토공기타,토공기타
1구간(STA.0+160~200) 표토 제거(C등급) ,토공,본선,토공기타,토공기타
1구간(STA.0+150~160) 침사지 정비 및 토공 저리(C등급),토공,본선,토공기타,토공기타
1구간(STA.0+040~180) 녹생토 코어네트 설치(C등급) ,토공,본선,토공기타,토공기타
1구간(STA.0+040~160) 소일네일링 천공위치 마킹(C등급) ,토공,본선,토공기타,비탈면보호공
1구간(STA.0+040~140) 쏘일네일링 천공 및 주입(C등급)  ,토공,본선,토공기타,비탈면보호공
1구간(STA.0+040~140) 산마루측구 터파기 ,토공,본선,흙깎기,흙깍기기타
1구간(STA.0+040~140) 산마루측구 집수정 되메우기(C등급),토공,본선,흙쌓기,노상
1구간(STA.0+040~120) 소일네일링 천공 및 주입(C등급) ,토공,본선,토공기타,비탈면보호공
"1구간(STA.0+040~070, 140~180) 쏘일네일링 천공, 삽입 및 주입(C) ",토공,본선,토공기타,비탈면보호공
"1구간(STA.0+040,140) 도수로 되메우기 및 소단정지(C등급)",토공,본선,흙쌓기,노상
"1구간(STA.0+040,140) 도수로 되메우기 및 면정리(C등급)",토공,본선,흙쌓기,노상
"1구간(STA.0+040,140) 도수로 거푸집 해체 및 되메우기(C등급)",토공,본선,흙쌓기,노상
1구간(STA.0+035~180) 녹생토 취부(B등급) ,토공,본선,토공기타,토공기타
1구간(STA.0+035~140) 산마루측구 면정리 및 되메우기(C등급),토공,본선,흙쌓기,노상
1구간(STA.0+035~140) 산마루측구 되메우기(C등급),토공,본선,흙쌓기,노상
1구간(STA.0+035~140) 도수로 되메우기(C등급) ,토공,본선,흙쌓기,노상
1구간(STA.0+030~180) 쏘일네일링 천공 및 주입(C등급)   ,토공,본선,토공기타,비탈면보호공
1구간(STA.0+030~070) 깎기부 법면 절취,토공,본선,흙깎기,흙깍기기타
1구간(STA.0+000~160) 법면절취(C등급) ,토공,본선,흙깎기,흙깍기기타
1구간(STA.0+000~160) 법면절취 및 부체도로 형성 작업(C등급),토공,본선,흙깎기,흙깍기기타
1구간(STA.0+000~160) 법면 절취(C등급) ,토공,본선,흙깎기,흙깍기기타
1구간(STA.0+000~120) 법면절취(C등급) ,토공,본선,흙깎기,흙깍기기타
1구간(STA.0+000~120) 법면 절취(C등급),토공,본선,흙깎기,흙깍기기타
1구간(STA.0+000~040) 깎기부 법면 절취(C) ,토공,본선,흙깎기,흙깍기기타
1구간(STA.0+0.00~80) 공사용 진입도로 성토 및 다짐(C등급) ,토공,본선,흙쌓기,흙쌓기기타
1구간(STA.0.00~80) 공사용 진입도로 토석 운반 및 정지작업(C등급) ,토공,본선,토공기타,토공기타
1구간(STA.+140~180) 법면절취,토공,본선,흙깎기,흙깍기기타
1구간(STA.+140~180)  쏘일네일링 천공 및 네일 삽입(C등급),토공,본선,토공기타,비탈면보호공
1구간(STA.+070~140) 쏘일네일링 천공 및 네일 삽입(C등급) ,토공,본선,토공기타,비탈면보호공
1구간(STA.+040~140) 쏘일네일링 천공 및 네일 삽입(C등급) ,토공,본선,토공기타,비탈면보호공
1구간( STA.0+000~160) 법면절취(C등급),토공,본선,흙깎기,흙깍기기타
0+190~231 산마루측구 기초 터파기 및 거푸집 설치(41m) (C등급),토공,본선,흙깎기,흙깍기기타
0+000~215 벌개제근 및 표토제거 (C등급),토공,본선,토공기타,토공기타
0+000~215 벌개제근 및 표토제거 (C등급),토공,본선,토공기타,토공기타
0+000~215 벌개제근 및 공사용진입로 개설 (C등급) ,토공,본선,토공기타,토공기타
 1구간(STA.0+140~180)쏘일네일링 그라우팅 주입(C) ,토공,본선,토공기타,비탈면보호공
 1구간(STA.0+140~180) 깎기부 법면절취,토공,본선,흙깎기,흙깍기기타
 1구간(STA.0+040~180) 쏘일네일링 시험 천공(C),토공,본선,토공기타,비탈면보호공
 1구간(STA.0+035~180) 녹생토 취부(B등급),토공,본선,토공기타,토공기타
 0+040~160 소일네일링 천공위치 마킹(C등급),토공,본선,토공기타,비탈면보호공
 R-D 0+440~0+888  법면깎기 및 발파(A등급),토공,IC/JC,흙깎기,흙깍기기타
 R-D 0+440~0+888  법면깎기 및 발파(A등급),토공,IC/JC,흙깎기,흙깍기기타
 R-D 0+440~0+888  법면깎기 및 발파준비(C등급),토공,IC/JC,흙깎기,흙깍기기타
 R-D 0+440~0+888  법면깎기 및 발파준비(C등급),토공,IC/JC,흙깎기,흙깍기기타
 R-D 0+440~0+888  법면깎기 및 암상차(C등급),토공,IC/JC,흙깎기,흙깍기기타
 R-D 0+440~0+888  법면깎기 및 암상차(C등급),토공,IC/JC,흙깎기,흙깍기기타
 R-D 0+440~0+888  법면깎기 및 암상차(C등급),토공,IC/JC,흙깎기,흙깍기기타
 R-D 0+440~0+888  법면깎기 및 암상차(C등급),토공,IC/JC,흙깎기,흙깍기기타
 R-D 0+440~0+888  법면깎기 및 암상차(C등급),토공,IC/JC,흙깎기,흙깍기기타
 R-D 0+440~0+888  법면깎기 및 암상차(C등급),토공,IC/JC,흙깎기,흙깍기기타
" R-D 0+440~0+888 법면깎기, 암상차 및 발파암천공(C등급)",토공,IC/JC,흙깎기,흙깍기기타
" R-D 0+440~888 암깎기, 암상차  및 발파암천공(C등급)",토공,IC/JC,흙깎기,흙깍기기타
R~C구간 집목 [C등급]  ,토공,IC/JC,토공기타,토공기타
R~C구간 집목 [C등급]  ,토공,IC/JC,토공기타,토공기타
R~C구간 집목 [C등급]  ,토공,IC/JC,토공기타,토공기타
